champions,traits,items,cost_total,placement
"TFT14_Jax:2,TFT14_TwistedFate:1,TFT14_Darius:2,TFT14_Jhin:2,TFT14_Mordekaiser:2,TFT14_MissFortune:2,TFT14_Sejuani:2,TFT14_Zeri:2,TFT14_Aurora:1","TFT14_Armorclad,TFT14_Bruiser,TFT14_EdgeRunner,TFT14_Mob,TFT14_Swift,TFT14_Thirsty",,55,6
"TFT14_TwistedFate:3,TFT14_Darius:3,TFT14_Rhaast:3,TFT14_Braum:3,TFT14_Draven:3,TFT14_Gragas:2,TFT14_MissFortune:1,TFT14_Aurora:1","TFT14_Bruiser,TFT14_Divinicorp,TFT14_Mob,TFT14_Swift,TFT14_Thirsty,TFT14_Vanguard",,54,4
"TFT14_Zyra:1,TFT14_DrMundo:2,TFT14_Ekko:2,TFT14_Rengar:2,TFT14_Mordekaiser:2,TFT14_Neeko:2,TFT14_Brand:2,TFT14_Samira:2,TFT14_Viego:2,TFT14_Renekton:2","TFT14_Bruiser,TFT14_Controller,TFT14_StreetDemon,TFT14_Techie,TFT14_ViegoUniqueTrait",,81,5
"TFT14_Kindred:1,TFT14_Sylas:2,TFT14_Jhin:2,TFT14_Rhaast:2,TFT14_Jarvan:2,TFT14_MissFortune:2,TFT14_Leona:2,TFT14_Aphelios:2,TFT14_Renekton:2,TFT14_Aurora:2","TFT14_AnimaSquad,TFT14_Divinicorp,TFT14_Immortal,TFT14_Marksman,TFT14_Overlord,TFT14_Thirsty,TFT14_Vanguard",,75,1
"TFT14_Zyra:4,TFT14_DrMundo:2,TFT14_Ekko:2,TFT14_Rengar:2,TFT14_Neeko:2,TFT14_Brand:2,TFT14_Ziggs:2,TFT14_Samira:2,TFT14_Kobuko:1","TFT14_Bruiser,TFT14_Controller,TFT14_Cyberboss,TFT14_StreetDemon,TFT14_Techie",,67,3
"TFT14_Morgana:2,TFT14_Jax:2,TFT14_Jhin:2,TFT14_Varus:2,TFT14_Mordekaiser:2,TFT14_Gragas:2,TFT14_Vex:2,TFT14_Sejuani:2,TFT14_Aurora:2","TFT14_Armorclad,TFT14_Bruiser,TFT14_Cutter,TFT14_Divinicorp,TFT14_EdgeRunner,TFT14_Thirsty",,60,2
"TFT14_Morgana:2,TFT14_Jax:2,TFT14_Jhin:2,TFT14_Varus:2,TFT14_Mordekaiser:2,TFT14_Gragas:2,TFT14_Vex:1,TFT14_Sejuani:2","TFT14_Armorclad,TFT14_Bruiser,TFT14_Cutter,TFT14_Divinicorp,TFT14_EdgeRunner,TFT14_Thirsty",,41,7
"TFT14_DrMundo:1,TFT14_Alistar:2,TFT14_Darius:1,TFT14_Mordekaiser:2,TFT14_Fiddlesticks:2,TFT14_Gragas:2,TFT14_Chogath:1,TFT14_Garen:1","TFT14_BallisTek,TFT14_Bruiser,TFT14_Divinicorp,TFT14_Netgod,TFT14_Techie",,35,8
"TFT14_Shaco:2,TFT14_TwistedFate:3,TFT14_Darius:2,TFT14_Rhaast:2,TFT14_Braum:3,TFT14_Draven:3,TFT14_Gragas:2,TFT14_MissFortune:2,TFT14_Aurora:2","TFT14_Bruiser,TFT14_Divinicorp,TFT14_Mob,TFT14_Swift,TFT14_Thirsty,TFT14_Vanguard",,64,1
"TFT14_Zyra:2,TFT14_DrMundo:2,TFT14_Ekko:2,TFT14_Rengar:2,TFT14_Neeko:2,TFT14_Brand:2,TFT14_Ziggs:2,TFT14_Samira:2,TFT14_Kobuko:1","TFT14_Bruiser,TFT14_Controller,TFT14_Cyberboss,TFT14_StreetDemon,TFT14_Techie",,65,2
"TFT14_Zyra:2,TFT14_DrMundo:2,TFT14_Ekko:2,TFT14_Jinx:2,TFT14_Rengar:1,TFT14_Neeko:1,TFT14_Brand:2,TFT14_Kobuko:1","TFT14_Bruiser,TFT14_Controller,TFT14_StreetDemon,TFT14_Techie",,39,8
"TFT14_Zyra:1,TFT14_DrMundo:2,TFT14_Ekko:2,TFT14_Jinx:2,TFT14_Rengar:2,TFT14_Neeko:1,TFT14_Brand:1,TFT14_Ziggs:2,TFT14_Kobuko:2","TFT14_Bruiser,TFT14_Controller,TFT14_Cyberboss,TFT14_StreetDemon,TFT14_Techie",,53,7
"TFT14_NidaleeCougar:2,TFT14_Ekko:2,TFT14_Naafiri:2,TFT14_Yuumi:2,TFT14_Neeko:2,TFT14_Annie:2,TFT14_Samira:2,TFT14_Zac:1","TFT14_Controller,TFT14_StreetDemon,TFT14_Supercharge,TFT14_Virus",,57,3
"TFT14_Zyra:1,TFT14_DrMundo:2,TFT14_Ekko:1,TFT14_Rengar:2,TFT14_Neeko:2,TFT14_Brand:2,TFT14_Ziggs:1,TFT14_Chogath:2,TFT14_Samira:1","TFT14_Bruiser,TFT14_Controller,TFT14_StreetDemon,TFT14_Techie",,53,5
"TFT14_Morgana:2,TFT14_Jax:2,TFT14_Jhin:2,TFT14_Varus:2,TFT14_Mordekaiser:2,TFT14_Gragas:2,TFT14_Vex:2,TFT14_Sejuani:2,TFT14_Aurora:2","TFT14_Armorclad,TFT14_Bruiser,TFT14_Cutter,TFT14_Divinicorp,TFT14_EdgeRunner,TFT14_Thirsty",,60,6
