champions,cost_total,traits,items,placement
"TFT14_Zyra,TFT14_DrMundo,TFT14_Ekko,TFT14_Jinx,TFT14_Rengar,TFT14_Neeko,TFT14_Brand,TFT14_Vex",17,"TFT14_Controller,TFT14_Cutter,TFT14_Divinicorp,TFT14_StreetDemon,TFT14_Techie","[[], [], [], [], [], [], [], []]",3
"TFT14_Zyra,TFT14_DrMundo,TFT14_Alistar,TFT14_Seraphine,TFT14_Ekko,TFT14_Mordekaiser,TFT14_Alistar",16,"TFT14_Bruiser,TFT14_StreetDemon,TFT14_Techie","[[], [], [], [], [], [], []]",8
"TFT14_Zyra,TFT14_DrMundo,TFT14_Ekko,TFT14_Rengar,TFT14_Neeko,TFT14_Brand,TFT14_Samira,TFT14_Zac,TFT14_Garen,TFT14_Viego,TFT14_Garen",22,"TFT14_Controller,TFT14_Netgod,TFT14_StreetDemon,TFT14_Techie,TFT14_ViegoUniqueTrait,TFT14_Virus","[[], [], [], [], [], [], [], [], [], [], []]",2
"TFT14_DrMundo,TFT14_Darius,TFT14_Mordekaiser,TFT14_Gragas,TFT14_Vex,TFT14_Ziggs,TFT14_Chogath,TFT14_Garen,TFT14_Urgot,TFT14_Kobuko",20,"TFT14_BallisTek,TFT14_Bruiser,TFT14_Cutter,TFT14_Cyberboss,TFT14_Divinicorp,TFT14_Netgod","[[], [], [], [], [], [], [], [], [], []]",1
"TFT14_Morgana,TFT14_Jax,TFT14_Jhin,TFT14_Varus,TFT14_Mordekaiser,TFT14_Gragas,TFT14_Vex,TFT14_Sejuani",15,"TFT14_Armorclad,TFT14_Bruiser,TFT14_Cutter,TFT14_Divinicorp,TFT14_EdgeRunner,TFT14_Thirsty","[[], [], [], [], [], [], [], []]",7
"TFT14_Sylas,TFT14_Alistar,TFT14_Rhaast,TFT14_Mordekaiser,TFT14_Jarvan,TFT14_Xayah,TFT14_Leona,TFT14_Aphelios,TFT14_Viego,TFT14_Rengar",19,"TFT14_AnimaSquad,TFT14_Bruiser,TFT14_Divinicorp,TFT14_Immortal,TFT14_Marksman,TFT14_Techie,TFT14_Vanguard,TFT14_ViegoUniqueTrait","[[], [], [], [], [], [], [], [], [], []]",5
"TFT14_Shaco,TFT14_TwistedFate,TFT14_Darius,TFT14_Rhaast,TFT14_Braum,TFT14_Draven,TFT14_MissFortune,TFT14_Rhaast",18,"TFT14_Divinicorp,TFT14_Mob,TFT14_Swift,TFT14_Vanguard","[[], [], [], [], [], [], [], []]",6
"TFT14_Zyra,TFT14_Veigar,TFT14_Shyvana,TFT14_Mordekaiser,TFT14_Fiddlesticks,TFT14_Brand,TFT14_Ziggs,TFT14_Kobuko,TFT14_Viego,TFT14_Kobuko",18,"TFT14_BallisTek,TFT14_Bruiser,TFT14_Cyberboss,TFT14_Immortal,TFT14_StreetDemon,TFT14_Techie,TFT14_ViegoUniqueTrait","[[], [], [], [], [], [], [], [], [], []]",4
"TFT14_Sylas,TFT14_Jhin,TFT14_Rhaast,TFT14_Jinx,TFT14_Jarvan,TFT14_Xayah,TFT14_Leona,TFT14_Aphelios,TFT14_Aurora",15,"TFT14_AnimaSquad,TFT14_Divinicorp,TFT14_Immortal,TFT14_Marksman,TFT14_Thirsty,TFT14_Vanguard","[[], [], [], [], [], [], [], [], []]",6
"TFT14_Morgana,TFT14_Alistar,TFT14_Graves,TFT14_Jarvan,TFT14_Xayah,TFT14_Annie,TFT14_Leona,TFT14_Zac,TFT14_Viego,TFT14_Garen",15,"TFT14_Divinicorp,TFT14_Immortal,TFT14_Vanguard,TFT14_ViegoUniqueTrait,TFT14_Virus","[[], [], [], [], [], [], [], [], [], []]",8
"TFT14_Zyra,TFT14_DrMundo,TFT14_Ekko,TFT14_Jinx,TFT14_Neeko,TFT14_Brand,TFT14_Vex,TFT14_Ziggs,TFT14_Samira,TFT14_Kobuko",19,"TFT14_Bruiser,TFT14_Controller,TFT14_Cyberboss,TFT14_Divinicorp,TFT14_StreetDemon,TFT14_Techie","[[], [], [], [], [], [], [], [], [], []]",2
"TFT14_Rhaast,TFT14_Senna,TFT14_Gragas,TFT14_Vex,TFT14_Zed,TFT14_Renekton,TFT14_Garen,TFT14_Urgot,TFT14_Aurora",15,"TFT14_Cutter,TFT14_Divinicorp,TFT14_Netgod,TFT14_Overlord,TFT14_Strong","[[], [], [], [], [], [], [], [], []]",4
"TFT14_Alistar,TFT14_Graves,TFT14_Jarvan,TFT14_Gragas,TFT14_Annie,TFT14_Chogath,TFT14_Aphelios,TFT14_Garen",14,"TFT14_Bruiser,TFT14_Divinicorp,TFT14_Immortal,TFT14_Netgod","[[], [], [], [], [], [], [], []]",7
"TFT14_Rhaast,TFT14_Senna,TFT14_Gragas,TFT14_Vex,TFT14_Zed,TFT14_Chogath,TFT14_Renekton,TFT14_Garen,TFT14_Urgot",16,"TFT14_BallisTek,TFT14_Bruiser,TFT14_Cutter,TFT14_Divinicorp,TFT14_Netgod,TFT14_Overlord,TFT14_Strong","[[], [], [], [], [], [], [], [], []]",3
"TFT14_Zyra,TFT14_DrMundo,TFT14_Ekko,TFT14_Rengar,TFT14_Neeko,TFT14_Brand,TFT14_Ziggs,TFT14_Samira,TFT14_Kobuko",17,"TFT14_Bruiser,TFT14_Controller,TFT14_Cyberboss,TFT14_StreetDemon,TFT14_Techie","[[], [], [], [], [], [], [], [], []]",1
"TFT14_Sylas,TFT14_Jhin,TFT14_Rhaast,TFT14_Jinx,TFT14_Jarvan,TFT14_Gragas,TFT14_Xayah,TFT14_Leona,TFT14_Aphelios",16,"TFT14_AnimaSquad,TFT14_Bruiser,TFT14_Divinicorp,TFT14_Immortal,TFT14_Marksman,TFT14_Vanguard","[[], [], [], [], [], [], [], [], []]",5
"TFT14_Shaco,TFT14_TwistedFate,TFT14_Darius,TFT14_Rhaast,TFT14_Braum,TFT14_Draven,TFT14_Gragas,TFT14_MissFortune,TFT14_Aurora",20,"TFT14_Bruiser,TFT14_Divinicorp,TFT14_Mob,TFT14_Swift,TFT14_Thirsty,TFT14_Vanguard","[[], [], [], [], [], [], [], [], []]",1
"TFT14_Skarner,TFT14_Mordekaiser,TFT14_Jarvan,TFT14_Fiddlesticks,TFT14_Gragas,TFT14_Vex,TFT14_Chogath,TFT14_Urgot,TFT14_Kobuko",14,"TFT14_BallisTek,TFT14_Bruiser,TFT14_Cutter,TFT14_Divinicorp,TFT14_Techie,TFT14_Vanguard","[[], [], [], [], [], [], [], [], []]",6
"TFT14_Sylas,TFT14_Seraphine,TFT14_Vayne,TFT14_Illaoi,TFT14_Jinx,TFT14_Yuumi,TFT14_Xayah,TFT14_Leona,TFT14_Viego",15,"TFT14_AnimaSquad,TFT14_Marksman,TFT14_Techie,TFT14_Vanguard,TFT14_ViegoUniqueTrait","[[], [], [], [], [], [], [], [], []]",5
"TFT14_Morgana,TFT14_Jax,TFT14_Jhin,TFT14_Varus,TFT14_Mordekaiser,TFT14_Gragas,TFT14_Vex,TFT14_Sejuani",15,"TFT14_Armorclad,TFT14_Bruiser,TFT14_Cutter,TFT14_Divinicorp,TFT14_EdgeRunner,TFT14_Thirsty","[[], [], [], [], [], [], [], []]",7
"TFT14_NidaleeCougar,TFT14_Ekko,TFT14_Naafiri,TFT14_Yuumi,TFT14_Neeko,TFT14_Ziggs,TFT14_Annie,TFT14_Samira,TFT14_Kobuko",17,"TFT14_Controller,TFT14_Cyberboss,TFT14_StreetDemon,TFT14_Supercharge","[[], [], [], [], [], [], [], [], []]",4
"TFT14_Kindred,TFT14_Jax,TFT14_Jhin,TFT14_Mordekaiser,TFT14_MissFortune,TFT14_Sejuani,TFT14_Zeri,TFT14_Viego,TFT14_Naafiri",16,"TFT14_Armorclad,TFT14_EdgeRunner,TFT14_Marksman,TFT14_Swift,TFT14_Techie,TFT14_Thirsty,TFT14_ViegoUniqueTrait","[[], [], [], [], [], [], [], [], []]",8
"TFT14_Morgana,TFT14_Jax,TFT14_Jhin,TFT14_Varus,TFT14_Mordekaiser,TFT14_Gragas,TFT14_Vex,TFT14_Sejuani,TFT14_Aurora",18,"TFT14_Armorclad,TFT14_Bruiser,TFT14_Cutter,TFT14_Divinicorp,TFT14_EdgeRunner,TFT14_Thirsty","[[], [], [], [], [], [], [], [], []]",2
"TFT14_Sylas,TFT14_Seraphine,TFT14_Jhin,TFT14_Illaoi,TFT14_Yuumi,TFT14_Xayah,TFT14_Leona,TFT14_Renekton,TFT14_Aurora",17,"TFT14_AnimaSquad,TFT14_Armorclad,TFT14_Divinicorp,TFT14_Marksman,TFT14_Overlord,TFT14_Thirsty,TFT14_Vanguard","[[], [], [], [], [], [], [], [], []]",3
"TFT14_Sylas,TFT14_Jhin,TFT14_Rhaast,TFT14_Jinx,TFT14_Jarvan,TFT14_Xayah,TFT14_Leona,TFT14_Aphelios,TFT14_Zac",18,"TFT14_AnimaSquad,TFT14_Divinicorp,TFT14_Immortal,TFT14_Marksman,TFT14_Vanguard,TFT14_Virus","[[], [], [], [], [], [], [], [], []]",3
"TFT14_Zyra,TFT14_DrMundo,TFT14_Ekko,TFT14_Rengar,TFT14_Neeko,TFT14_Brand,TFT14_Ziggs,TFT14_Samira,TFT14_Zac,TFT14_Kobuko",18,"TFT14_Bruiser,TFT14_Controller,TFT14_Cyberboss,TFT14_StreetDemon,TFT14_Techie,TFT14_Virus","[[], [], [], [], [], [], [], [], [], []]",4
"TFT14_Zyra,TFT14_DrMundo,TFT14_Ekko,TFT14_Jinx,TFT14_Rengar,TFT14_Neeko,TFT14_Brand,TFT14_Chogath,TFT14_Samira,TFT14_Viego",17,"TFT14_Bruiser,TFT14_Controller,TFT14_StreetDemon,TFT14_Techie,TFT14_ViegoUniqueTrait","[[], [], [], [], [], [], [], [], [], []]",1
"TFT14_Morgana,TFT14_Varus,TFT14_Mordekaiser,TFT14_Gragas,TFT14_Vex,TFT14_Sejuani,TFT14_Zac,TFT14_Renekton,TFT14_Garen,TFT14_Aurora",19,"TFT14_Armorclad,TFT14_Bruiser,TFT14_Cutter,TFT14_Divinicorp,TFT14_EdgeRunner,TFT14_Netgod,TFT14_Overlord,TFT14_Thirsty,TFT14_Virus","[[], [], [], [], [], [], [], [], [], []]",6
"TFT14_Zyra,TFT14_DrMundo,TFT14_Ekko,TFT14_Rengar,TFT14_Neeko,TFT14_Brand,TFT14_Samira,TFT14_Kobuko,TFT14_Aurora",13,"TFT14_Bruiser,TFT14_Controller,TFT14_StreetDemon,TFT14_Techie","[[], [], [], [], [], [], [], [], []]",7
"TFT14_NidaleeCougar,TFT14_Naafiri,TFT14_Gragas,TFT14_Yuumi,TFT14_Annie,TFT14_Samira,TFT14_Zac,TFT14_Renekton,TFT14_Garen,TFT14_Viego",19,"TFT14_Controller,TFT14_Divinicorp,TFT14_Immortal,TFT14_Netgod,TFT14_Overlord,TFT14_Supercharge,TFT14_ViegoUniqueTrait,TFT14_Virus","[[], [], [], [], [], [], [], [], [], []]",8
"TFT14_Morgana,TFT14_TwistedFate,TFT14_Darius,TFT14_Rhaast,TFT14_Braum,TFT14_Draven,TFT14_MissFortune,TFT14_Kobuko,TFT14_Aurora",20,"TFT14_Bruiser,TFT14_Divinicorp,TFT14_Mob,TFT14_Swift,TFT14_Thirsty,TFT14_Vanguard","[[], [], [], [], [], [], [], [], []]",2
"TFT14_Kindred,TFT14_Sylas,TFT14_Jhin,TFT14_Rhaast,TFT14_Jarvan,TFT14_Xayah,TFT14_Leona,TFT14_Aphelios,TFT14_Zac",19,"TFT14_AnimaSquad,TFT14_Divinicorp,TFT14_Immortal,TFT14_Marksman,TFT14_Vanguard,TFT14_Virus","[[], [], [], [], [], [], [], [], []]",5
"TFT14_Jhin,TFT14_Rhaast,TFT14_Jinx,TFT14_Jarvan,TFT14_Xayah,TFT14_Leona,TFT14_Aphelios,TFT14_Zac,TFT14_Aurora",18,"TFT14_AnimaSquad,TFT14_Divinicorp,TFT14_Immortal,TFT14_Marksman,TFT14_Thirsty,TFT14_Vanguard,TFT14_Virus","[[], [], [], [], [], [], [], [], []]",3
"TFT14_NidaleeCougar,TFT14_Ekko,TFT14_Naafiri,TFT14_Yuumi,TFT14_Neeko,TFT14_Annie,TFT14_Samira,TFT14_Zac,TFT14_Garen,TFT14_Viego",21,"TFT14_Controller,TFT14_Immortal,TFT14_Netgod,TFT14_StreetDemon,TFT14_Supercharge,TFT14_ViegoUniqueTrait,TFT14_Virus","[[], [], [], [], [], [], [], [], [], []]",2
